index,BAD,LOAN,MORTDUE,VALUE,YOJ,CLAGE,NINQ,CLNO,DEBTINC,DEROGzero,REASON_HomeImp,REASON_IsMissing,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,DELINQcat_1,DELINQcat_1+
0,True,-1.8322830212305938,-1.2958822108106054,-1.3355262990291883,0.26678782969903364,-1.0752781853844031,-0.06505446090435664,-1.2974759934872158,0.1374556734050723,True,1,0,0,1,0,0,0,0,0
1,True,-1.8106655806312384,-0.013473612226342531,-0.6726987307007986,-0.2366150302822279,-0.7230920456223049,-0.8267923528296333,-0.7566076532282994,0.1374556734050723,True,1,0,0,1,0,0,0,0,1
2,True,-1.7890481400318832,-1.654549200571461,-1.8392752509587644,-0.6681031959804521,-0.368768965116089,-0.06505446090435664,-1.1893023254354325,0.1374556734050723,True,1,0,0,1,0,0,0,0,0
3,True,-1.7890481400318832,-0.15955206096874924,-0.20255936729973764,-0.2366150302822279,-0.06103349571873463,-0.06505446090435664,-0.1075656449175997,0.1374556734050723,True,0,1,0,1,0,0,0,0,0
4,False,-1.7674306994325273,0.7916989577489373,0.31110661326916883,-0.8119325845465268,-1.0885279155316634,-0.8267923528296333,-0.7566076532282994,0.1374556734050723,True,1,0,1,0,0,0,0,0,0
5,True,-1.7674306994325273,-1.1598441163123132,-1.30630547516586,0.05104374684992154,-0.9842483666362064,-0.06505446090435664,-1.4056496615389988,0.5230254115803341,True,1,0,0,1,0,0,0,0,0
6,True,-1.7566219791328497,-0.6345826938478112,-0.9290973573872834,-0.5242738074143773,-1.2966768019418706,-0.06505446090435664,-0.4320866490729495,0.1374556734050723,False,1,0,0,1,0,0,0,0,1
7,True,-1.7566219791328497,-1.2192156908309792,-1.2450658489380049,0.33870252398207107,-1.14709133452297,-0.8267923528296333,-1.4056496615389988,0.4846057265140417,True,1,0,0,1,0,0,0,0,0
8,True,-1.7350045385334942,-1.0973965951177047,-1.1614423947005574,-0.8119325845465268,0.4963096749308442,-0.06505446090435664,-0.972954989331866,0.1374556734050723,True,1,0,0,1,0,0,0,0,1
9,True,-1.7350045385334942,-0.15955206096874924,-0.8114694386231678,1.0578494668124447,-0.8004533575386367,-0.8267923528296333,-0.8647813212800826,0.1374556734050723,True,1,0,0,0,0,1,0,0,0
10,True,-1.7350045385334942,-1.3902499333593354,-0.20255936729973764,1.345508243944594,-0.06103349571873463,-0.06505446090435664,-0.1075656449175997,0.1374556734050723,True,0,1,0,1,0,0,0,0,0
11,True,-1.7350045385334942,-1.4477353141616214,-1.543682360912742,0.33870252398207107,-0.7141165046987495,-0.06505446090435664,-1.2974759934872158,0.1374556734050723,True,1,0,1,0,0,0,0,1,0
12,True,-1.7350045385334942,-0.7404707072488922,-0.9750609235723022,-0.8119325845465268,-1.1817034198402332,0.69668343102092,0.4333026953413167,0.1374556734050723,True,1,0,0,1,0,0,0,0,0
13,False,-1.7350045385334942,-0.1735679311996953,-0.24397621842030814,-0.8838472788295642,-0.3986876485664613,-0.8267923528296333,0.32512902728953336,0.1374556734050723,True,0,1,0,0,0,0,0,0,0
14,True,-1.7241958182338164,0.0140067793030693,-0.3240796351885051,-0.09278564171615318,-0.7081327167194302,-0.8267923528296333,-0.5402603171247328,0.1374556734050723,True,1,0,0,1,0,0,0,1,0
15,True,-1.7133870979341386,-1.3417312273010706,-1.4334104178856495,-0.2366150302822279,1.5725290825553335,-0.8267923528296333,-1.4056496615389988,0.1374556734050723,True,1,0,0,1,0,0,0,1,0
16,True,-1.7133870979341386,0.5931262869614345,0.0990017914040841,-0.2366150302822279,-0.7094149478419192,-0.06505446090435664,0.10878169118596684,0.1374556734050723,False,1,0,0,0,0,0,0,0,1
17,True,-1.7133870979341386,-1.3780041833852996,-0.20255936729973764,1.4893376325106689,-0.06103349571873463,-0.06505446090435664,-0.1075656449175997,-2.354536735574695,True,0,1,0,1,0,0,0,0,0
18,True,-1.7025783776344607,-1.2282113839398678,-1.3101414134336329,-0.5961885016974148,-1.5851788045018904,-0.06505446090435664,-0.5402603171247328,0.1374556734050723,True,1,0,0,1,0,0,0,0,0
19,False,-1.7025783776344607,0.9243128851928782,0.5131251739242861,-0.9557619731126016,-1.1185424585807526,-0.8267923528296333,-0.8647813212800826,-0.40507375926158623,True,1,0,1,0,0,0,0,0,0
20,True,-1.7025783776344607,-0.9544521297809754,-1.1736271397864242,-0.8119325845465268,-0.7175357022099788,-0.06505446090435664,-0.7566076532282994,0.1374556734050723,True,1,0,0,1,0,0,0,1,0
